zona,DICA,WASHINGTON REIS,abstencoes,aptos,nao_considerados,votos_anulados,votos_brancos,votos_legenda,votos_nominais,votos_nulos
66,13461,9437,10198,37338,14440,0,901,0,22898,3341
77,10240,11086,8523,33534,12208,0,935,0,21326,2750
78,21744,25881,17733,74009,26384,0,2012,0,47625,6639
79,30629,27949,20490,89395,30817,0,2692,0,58578,7635
103,25328,14570,16952,63582,23684,0,1427,0,39898,5305
126,27187,37061,23027,101650,37402,0,3456,0,64248,10919
127,19770,35184,20405,87617,32663,0,3292,0,54954,8966
128,9059,30794,12099,57710,17857,0,1274,0,39853,4484
194,12535,12403,9238,39487,14549,0,1219,0,24938,4092
200,14277,13435,11049,43842,16130,0,1129,0,27712,3952
